deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
mix_-5_DeepFilterNet3.wav,3.0453706,3.0172555,3.9678185,3.4273384,3.6438398,NISQAv2
mix_0_DeepFilterNet3.wav,3.7743912,3.7452362,4.243632,3.9838884,4.092948,NISQAv2
mix_5_DeepFilterNet3.wav,4.2091928,4.1327205,4.430441,4.1104097,4.3112617,NISQAv2
mix_10_DeepFilterNet3.wav,4.4042063,4.225575,4.498682,4.185361,4.3786354,NISQAv2
