deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
mix_10.wav,2.3135471,1.4733127,4.451892,3.9377685,3.4085891,NISQAv2
mix_5.wav,1.7616285,1.2838082,4.3549476,3.4641707,2.9516125,NISQAv2
mix_0.wav,1.0922617,1.3183674,4.329185,3.0950782,2.3400602,NISQAv2
mix_-5.wav,0.72449005,1.34978,2.952047,1.5075662,1.516691,NISQAv2
